role,company_name,hiring_badge,location,duration,stipend_perMonth,skills
Campus Ambassador,Sharpener Tech,Actively hiring,Work from home,6 Weeks,Performance Based,"Marketing, Networking, Event Promotion"
Graphic Design,Bilateral Solutions Private Limited,Actively hiring,Mandi,6 Months," 10,000-12,000 ","Graphic Design, Photoshop, Illustrator"
Campus Ambassador,Skillsoft Solutions,Actively hiring,Work from home,3 Months,Performance Based,"Marketing, Networking, Event Promotion"
Social Media Marketing,Flying Pigeon Solutions,Actively hiring,Jaipur,2 Months," 6,000-10,000 ","Marketing Strategy, Communication, Market Research"
Content Writing,Sfaira Infotech Private Limited,Actively hiring,Delhi,5 Months," 10,000-15,000 ","Content Writing, Editing, SEO"
Influencer Marketing,Flying Pigeon Solutions,Actively hiring,Jaipur,2 Months," 8,000-10,000 ","Marketing Strategy, Communication, Market Research"
Law/Legal,Sonam  Geda,Actively hiring,Indore,3 Months," 2,000-5,000 ","Communication, Teamwork"
Social Media Marketing,Dropsy,Actively hiring,Noida,3 Months,"5,000","Marketing Strategy, Communication, Market Research"
Human Resources (HR),Bilateral Solutions Private Limited,Actively hiring,Mandi,6 Months," 12,000-15,000 ","Recruitment, HR Management, Communication"
Content Writing,Get Catalyzed,Actively hiring,Jaipur,3 Months," 8,000-10,000 ","Content Writing, Editing, SEO"
Media & Public Relations (PR),Sedani Digital Private Limited,Actively hiring,Work from home,3 Months,"3,000","Communication, Teamwork"
E-commerce Operations,MHLondon,Actively hiring,Noida,4 Months,"15,000","Operations Management, Coordination, MS Excel"
Search Engine Optimization (SEO),Sfaira Infotech Private Limited,Actively hiring,Delhi,4 Months," 8,000-12,000 ","SEO, Google Analytics, Keyword Research"
Content Writing,AppVersal,Actively hiring,Noida,3 Months,"10,000","Content Writing, Editing, SEO"
Digital Marketing,Victoria Exotica Pvt Ltd,Actively hiring,Delhi,6 Months," 10,000-12,000 ","SEO, Google Ads, Social Media Marketing"
Social Media Marketing,Small Box Office,Actively hiring,Delhi,6 Months,"7,500","Marketing Strategy, Communication, Market Research"
Influencers Marketing,Medonomy,Actively hiring,Noida,6 Months," 10,000-20,000 ","Marketing Strategy, Communication, Market Research"
Digital Marketing,Seed And Sky Design,Actively hiring,Delhi,6 Months,"12,000","SEO, Google Ads, Social Media Marketing"
Lead Generation,Tring,Actively hiring,"Thane, Navi Mumbai, Mumbai, Panvel",3 Months,"11,000","Communication, Teamwork"
Telecalling,Codeb,Actively hiring,Mumbai,6 Months,"10,000","Communication, Sales, Customer Handling"
Graphic Design,Stirring Minds,Actively hiring,Delhi,3 Months,"7,000","Graphic Design, Photoshop, Illustrator"
Copywriting,UrbanSpell B2B Marketing Agency,Actively hiring,Pune,6 Months,"6,000","Communication, Teamwork"
Social Media Marketing,UrbanSpell B2B Marketing Agency,Actively hiring,Pune,6 Months,"6,000","Marketing Strategy, Communication, Market Research"
Social Media Marketing,Medonomy,Actively hiring,Noida,6 Months," 10,000-20,000 ","Marketing Strategy, Communication, Market Research"
Search Engine Optimization (SEO),Ace 360,Actively hiring,Mumbai,6 Months," 3,000-5,000 ","SEO, Google Analytics, Keyword Research"
Search Engine Optimization (SEO),Medonomy,Actively hiring,Noida,6 Months," 10,000-20,000 ","SEO, Google Analytics, Keyword Research"
B2B Sales,Tring,Actively hiring,Mumbai,3 Months,"15,000","Sales, Negotiation, CRM"
Social Media Marketing,Ace 360,Actively hiring,"Mumbai, Virar",6 Months," 3,000-6,000 ","Marketing Strategy, Communication, Market Research"
Supply Chain Management (SCM),Arcatron Mobility Private Limited,Actively hiring,Pune,3 Months,"20,000","Communication, Teamwork"
Business Development (Sales),Next Labs,Actively hiring,Mumbai,6 Months,"10,000","Sales, Negotiation, Business Strategy"
Business Development (Sales),Zedex Info Private Limited,Actively hiring,Mumbai,3 Months,"12,000","Sales, Negotiation, Business Strategy"
Teaching,The Skill Guru Foundation,Actively hiring,Work from home,3 Months,Unpaid,"Teaching, Curriculum Design, Communication"
Operations,Anannt Training Institute,Actively hiring,Pune,3 Months," 3,000-10,000 ","Operations Management, Coordination, MS Excel"
Operations,Next Labs,Actively hiring,Mumbai,6 Months,"10,000","Operations Management, Coordination, MS Excel"
Graphic Design,Antino Labs Private Limited,Actively hiring,Gurgaon,6 Months,"15,000","Graphic Design, Photoshop, Illustrator"
Telemarketing,WellnessZ,Actively hiring,Work from home,3 Months,"5,000","Marketing Strategy, Communication, Market Research"
Project Management,ADORE,Actively hiring,Work from home,3 Months,Unpaid,"Project Management, MS Project, Leadership"
Graphic Design,StoreShoppy Online Services Private Limited,Actively hiring,"Faridabad, Delhi, Ghaziabad, Gurgaon, Noida",3 Months," 5,000-15,000 ","Graphic Design, Photoshop, Illustrator"
Sales And Marketing,Deeto Infotech,Actively hiring,Bangalore,1 Month,"5,000","Sales, Negotiation, CRM"
Digital Marketing,The Affordable Organic Store,Actively hiring,Work from home,3 Months,"1,500","SEO, Google Ads, Social Media Marketing"
Marathi Transcription Coordinator,Indiaum Solutions,Actively hiring,Work from home,4 Months," 7,000-15,000 ","Typing, Listening, Attention to Detail"
Growth Marketing,Grexa AI Private Limited,Actively hiring,Navi Mumbai,3 Months," 10,000-25,000 ","Marketing Strategy, Communication, Market Research"
Business Development (Sales),Rousing Designs,Actively hiring,Bangalore,6 Months," 5,000  +  Incentives","Sales, Negotiation, Business Strategy"
Business Development (Sales),Rydeu Logistics UG,Actively hiring,Work from home,6 Months," 10,000-12,000 ","Sales, Negotiation, Business Strategy"
Finance Executive,Bilateral Solutions Private Limited,Actively hiring,Mandi,6 Months,"10,000","Excel, Financial Analysis, Accounting"
Telecalling,Jaguar Properties,Actively hiring,Bangalore,6 Months,"10,000","Communication, Sales, Customer Handling"
PCB Designer,Panoculon Labs,Actively hiring,Work from home,1 Month,"7,500","Graphic Design, Photoshop, Illustrator"
Human Resources (HR),CyberFrat,Actively hiring,Mumbai,6 Months,"5,000","Recruitment, HR Management, Communication"
Human Resources (HR),Ace 360,Actively hiring,Mumbai,6 Months," 3,000-5,000 ","Recruitment, HR Management, Communication"
International Sales,Inorbvict Healthcare India Private Limited,Actively hiring,"Pune, Mumbai, Pimpri-Chinchwad, Nashik",3 Months,"6,000","Sales, Negotiation, CRM"
General Management,ADORE,Actively hiring,Work from home,6 Months,"2,000","Communication, Teamwork"
Recruitment Consultant,Unidus Services (Manpower) Private Limited,Actively hiring,Work from home,3 Months," 1,000 lump sum +  Incentives","Consulting, Analysis, Presentation"
Human Resources (HR),Tradexa Technologies Private Limited,Actively hiring,Pune,6 Months," 12,000-15,000 ","Recruitment, HR Management, Communication"
Mutual Fund Operations,RK & Co,Actively hiring,Work from home,4 Months,"4,500","Operations Management, Coordination, MS Excel"
Fundraising,Scope For Change,Actively hiring,Work from home,1 Month," 1,000  +  Incentives","Communication, Teamwork"
Business Development (Sales),ShikshaGurus,Actively hiring,Work from home,2 Months," 5,000  +  Incentives","Sales, Negotiation, Business Strategy"
E-Commerce Sales,B.S Solutions,Actively hiring,Work from home,3 Months," 12,000 lump sum","Sales, Negotiation, CRM"
Social Media Marketing,Leadgenerator,Actively hiring,Bangalore,3 Months,"25,000","Marketing Strategy, Communication, Market Research"
Business Development (Sales),Social Dot Hub,Actively hiring,Work from home,6 Months," 8,000  +  Incentives","Sales, Negotiation, Business Strategy"
Social Media Marketing,Brandshark,Actively hiring,Bangalore,3 Months,"10,000","Marketing Strategy, Communication, Market Research"
Social Media Marketing,CheQ Digital Private Limited,Actively hiring,Bangalore                                                            (Hybrid),6 Months,"25,000","Marketing Strategy, Communication, Market Research"
Illustrator Designer,Blue Rose Publishers,Actively hiring,Noida,6 Months," 18,000-20,000 ","Graphic Design, Photoshop, Illustrator"
Motion Graphic Cum Graphic Design,Medonomy,Actively hiring,Noida,6 Months," 10,000-20,000 ","Graphic Design, Photoshop, Illustrator"
Auditing & Accounting,CHORDIA & ASSOCIATES,Actively hiring,Jodhpur,3 Months,"10,000","Accounting, Tally, Excel"
Recruitment Consultant,Valuemount Services Private Limited,Actively hiring,Hyderabad,6 Months,"10,000","Consulting, Analysis, Presentation"
Catalogue Management,Goodera,Actively hiring,Bangalore,6 Months,"20,000","Communication, Teamwork"
HR Executive,Techdome Solutions Private Limited,Actively hiring,Hyderabad,3 Months," 8,000-12,000 ","Recruitment, HR Management, Communication"
HR Admin,Techdome Solutions Private Limited,Actively hiring,Hyderabad,3 Months," 8,000-12,000 ","Administration, Coordination, MS Office"
Forex Trading Expert,Flying Pigeon Solutions,Actively hiring,Jaipur,2 Months," 12,000-20,000 ","Communication, Teamwork"
Business Development (Sales),Supreme Forex (Supreme Securities Limited),Actively hiring,Work from home,5 Months,"11,000","Sales, Negotiation, Business Strategy"
Human Resources (HR),Beeyond Tech,Actively hiring,Mumbai,3 Months," 8,000-10,000 ","Recruitment, HR Management, Communication"
Graphic Design,Coding Junior,Actively hiring,Work from home,3 Months,"2,000","Graphic Design, Photoshop, Illustrator"
Medical Pre-sales For Clinic Software Platform,Emvoke Technologies Private Limited,Actively hiring,Work from home,3 Months,"7,000","Sales, Negotiation, CRM"
Embedded Systems,Bilateral Solutions Private Limited,Actively hiring,Mandi,6 Months," 10,000-12,000 ","Embedded Systems, C, Microcontrollers"
Teaching And Office Support - Chaukhandi,Scope For Change,Actively hiring,Delhi,6 Months," 5,000-6,000 ","Teaching, Curriculum Design, Communication"
Subject Matter Expert (Physics),Kunduz Technologies,Actively hiring,Work from home,3 Months," 5,000-6,000 ","Communication, Teamwork"
Doubt Solving Expert (Mathematics),Kunduz Technologies,Actively hiring,Work from home,3 Months," 5,000-6,000 ","Communication, Teamwork"
Doubt Solving (Inorganic Chemistry),Kunduz Technologies,Actively hiring,Work from home,3 Months," 5,000-6,000 ","Communication, Teamwork"
Insurance Content Writer,RK & Co,Actively hiring,Work from home,4 Months,"7,000","Writing, SEO, Research"
Market Research,Avaesa,Actively hiring,Work from home,3 Months," 5,000-10,000 ","Research, Analysis, Report Writing"
3D Modelling,Panoculon Labs,Actively hiring,Work from home,1 Month,"7,500","Communication, Teamwork"
Aide Supervisor (Fundraising),Pawzz,Actively hiring,Work from home,3 Weeks," 1,500-10,000 ","Communication, Teamwork"
Human Resources (HR),Sunstone Education Technology Private Limited,Actively hiring,Gurgaon,2 Months,"11,000","Recruitment, HR Management, Communication"
Content Design (Personal Branding Specialist),Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,4 Months,"10,000","Marketing Strategy, Branding, Communication"
Channel Partner Manager,Rydeu Logistics UG,Actively hiring,Work from home,6 Months," 8,000-10,000 ","Communication, Teamwork"
Human Resources (HR),Absolute People Screen Private Limited,Actively hiring,Gurgaon,6 Months,"10,000","Recruitment, HR Management, Communication"
Python Development,Akaaro,Actively hiring,Gurgaon                                                            (Hybrid),1 Month,"2,000","Python,SQL,Django"
Human Resources (HR),NayePankh Foundation,Actively hiring,Ghaziabad,3 Months,"15,000","Recruitment, HR Management, Communication"
Social Media Marketing,Social Parindee Digital Marketing Agency Private Limited,Actively hiring,Work from home,6 Months," 1,000-5,000 ","Marketing Strategy, Communication, Market Research"
Unity Game Developer,Monkhub,Actively hiring,Gurgaon,6 Months," 8,000-10,000 ","C,unity,blender"
Data Entry,Esta Global,Actively hiring,Kolkata,6 Months,"6,000","Excel,python,SQL"
UI/UX Designer,AppVersal,Actively hiring,Noida,3 Months,"10,000","Figma, Wireframing, Prototyping"
Influencer Marketing,Dollarpe Technologies Private Limited,Actively hiring,Work from home,2 Months," 1,000  +  Incentives","Marketing Strategy, Communication, Market Research"
Prompt Engineering,Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,2 Months,"1,000","Communication, Teamwork"
E-Commerce Marketing,A Box Of Stories,Actively hiring,Work from home,3 Months," 8,000-10,000 ","Marketing Strategy, Communication, Market Research"
Accounting,Gloval International,Actively hiring,Mumbai,3 Months,"10,000","Accounting, Tally, Excel"
Professional Video Editor/Graphics Designer,Kusum Sharma,Actively hiring,Work from home,6 Months,"6,000","Video Editing, Premiere Pro, After Effects"
Marketing,MentorBoxx,Actively hiring,Pune,3 Months,"5,500","Marketing Strategy, Communication, Market Research"
Event Management,Flamingo Communications India Private Limited,Actively hiring,"Thane, Mumbai",3 Months,"8,000","Communication, Teamwork"
Marketing (Lead Generation),Tripple One Solutions,Actively hiring,Work from home,1 Month," 3,000-10,000 ","Marketing Strategy, Communication, Market Research"
Telecalling,Younglabs Innovations Private Limited,Actively hiring,"Delhi, Noida",3 Months," 8,000-10,000 ","Communication, Sales, Customer Handling"
Design Category,Meragi,Actively hiring,Delhi,3 Months,"15,000","Graphic Design, Photoshop, Illustrator"
Customer Service/Customer Support,MentorBoxx,Actively hiring,Pune,3 Months,"15,000","Communication, Teamwork"
Technical Assistant,Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,3 Months,"1,000","Coordination, Communication, MS Office"
Event Management,Office Of Advisor To CM,Actively hiring,Delhi,6 Months," 2,000-5,000 ","Communication, Teamwork"
Project Management,Elastochemie Impex,Actively hiring,Mumbai,6 Months," 10,000-15,000 ","Project Management, MS Project, Leadership"
Customer Service/Customer Support,Sports For All,Actively hiring,Mumbai,6 Months," 10,000-15,000 ","Communication, Teamwork"
Business Development (Sales),CyberFrat,Actively hiring,Mumbai,2 Months," 10,000-15,000 ","Sales, Negotiation, Business Strategy"
Campus Ambassador,Blue Rose Publishers,Actively hiring,Work from home,1 Month,Performance Based,"Marketing, Networking, Event Promotion"
Market Research,Ekvity,Actively hiring,Mumbai,6 Months,"8,000","Research, Analysis, Report Writing"
Angular.js Development,Quarks Technosoft Private Limited,Actively hiring,Noida,6 Months,"15,000","Communication, Teamwork"
Sales And Outreach (S&O),Pawzz,Actively hiring,Work from home,3 Weeks," 1,500-5,000 ","Sales, Negotiation, CRM"
Campus Ambassador,Supreme Forex (Supreme Securities Limited),Actively hiring,Delhi,2 Months,Performance Based,"Marketing, Networking, Event Promotion"
Digital Marketing,"Enshrine Global Systems (Detroit, United States)",Actively hiring,Work from home,3 Months,"5,000","SEO, Google Ads, Social Media Marketing"
Social Media Marketing,Visualview Media,Actively hiring,"Pune, Pimpri-Chinchwad",3 Months,"10,000","Marketing Strategy, Communication, Market Research"
Fundraising & Volunteering,NayePankh Foundation,Actively hiring,Work from home,1 Month,20% of Total Funds Raised,"Communication, Teamwork"
Video Editing/Making,Catalyst Crew,Actively hiring,Mumbai                                                            (Hybrid),6 Months,"10,000","Video Editing, Premiere Pro, After Effects"
Content Writing,Traya Health,Actively hiring,Mumbai,3 Months,"15,000","Content Writing, Editing, SEO"
Video Solution Expert - IIT/JEE/NEET,CloudBird Digital Private Limited,Actively hiring,Work from home,6 Months," 8,000-9,000 ","Video Editing, Premiere Pro, After Effects"
Fundraising,Marpu Foundation,Actively hiring,Work from home,2 Weeks,Unpaid,"Communication, Teamwork"
Wix Website Development,Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,3 Months,"1,000","HTML,css,react,node,mongoDB"
