role,company_name,hiring_badge,location,duration,stipend_perMonth,skills
Copywriting,Enseur,Actively hiring,Delhi,3 Months," 3,000-10,000 ","Communication, Teamwork"
Content Writing,Klicksurge,Actively hiring,Noida,3 Months,"10,000","Content Writing, Editing, SEO"
Influencer Marketing,Fabulous Media Private Limited,Actively hiring,Gurgaon,6 Months," 5,000-15,000 ","Marketing Strategy, Communication, Market Research"
Marketing,Verve Stays,Actively hiring,Delhi                                                            (Hybrid),4 Months,"10,000","Marketing Strategy, Communication, Market Research"
Human Resources (HR),Bonn Tonn,Actively hiring,Kolkata,3 Months,"7,500","Recruitment, HR Management, Communication"
Marketing,Anahad Pharma Private Limited,Actively hiring,Mumbai,3 Months," 5,000  +  Incentives","Marketing Strategy, Communication, Market Research"
Social Media Marketing,Hamsi Marketing Private Limited,Actively hiring,Hyderabad                                                            (Hybrid),4 Months,"8,000","Marketing Strategy, Communication, Market Research"
Video Editing/Making,APTAGRIM CONSULTING PRIVATE LIMITED,Actively hiring,Hyderabad,3 Months,"15,000","Video Editing, Premiere Pro, After Effects"
Graphic Design,GoMechanic,Actively hiring,Gurgaon,3 Months,"10,000","Graphic Design, Photoshop, Illustrator"
Supply Chain & Logistics Operations,Goodera,Actively hiring,Bangalore,6 Months," 15,000-20,000 ","Operations Management, Coordination, MS Excel"
Human Resources (HR),Think EBikeGO Private Limited,Actively hiring,Mumbai,3 Months,"10,000","Recruitment, HR Management, Communication"
Content Writer - Regional Language,Rupicard,Actively hiring,Bangalore,3 Months," 5,000-10,000 ","Writing, SEO, Research"
Key Account (Growth Team),Blitz,Actively hiring,Bangalore,6 Months,"25,000","Communication, Teamwork"
Content Writer (SEO),Tring,Actively hiring,"Navi Mumbai, Mumbai",3 Months,"11,000","SEO, Google Analytics, Keyword Research"
Weekend Event Host (Evening),Breakout,Actively hiring,Bangalore,6 Months," 3,000-4,000 ","Communication, Teamwork"
Graphic Design,APTAGRIM CONSULTING PRIVATE LIMITED,Actively hiring,Hyderabad,6 Months,"15,000","Graphic Design, Photoshop, Illustrator"
Business Research,Ibus Networks And Infrastructure Pvt. Ltd,Actively hiring,Bangalore,3 Months,"10,000","Sales, Negotiation, Business Strategy"
Business Development (Sales),Fabzen Technologies Private Limited,Actively hiring,Bangalore,6 Months,"10,000","Sales, Negotiation, Business Strategy"
Content Writing,Brandshark,Actively hiring,Bangalore,3 Months,"10,000","Content Writing, Editing, SEO"
Category,Meragi,Actively hiring,Bangalore,3 Months,"15,000","Communication, Teamwork"
Human Resources (HR),Witness The Fitness Private Limited,Actively hiring,Noida,3 Months,"5,000","Recruitment, HR Management, Communication"
Program Management,Goodera,Actively hiring,Bangalore,6 Months,"30,000","Communication, Teamwork"
Content Creator (Social Media),Trade Brains,Actively hiring,Bangalore,3 Months,"10,000","Social Media, Content Creation, Analytics"
Data Entry,Ziegler Aerospace,Actively hiring,Hyderabad,6 Months," 6,000-10,000 ","Excel,python,SQL"
Product Experience Specialist,IB Cricket,Actively hiring,Bangalore,6 Months," 15,000-20,000 ","Communication, Teamwork"
Teaching Assistance - Electric Vehicle (Embedded Systems & MATLAB),Internshala,Actively hiring,Gurgaon,6 Months,"18,000","Embedded Systems, C, Microcontrollers"
Human Resources (HR),Social Dot Hub,Actively hiring,Delhi,6 Months,"8,000","Recruitment, HR Management, Communication"
Event Coordinator,Meragi,Actively hiring,"Bangalore, Hyderabad",6 Months," 15,000-20,000 ","Communication, Teamwork"
STEM Education Trainer,Anagh Technology,Actively hiring,"Surat, Navsari, Tapi",3 Months," 10,000-15,000 ","Communication, Teamwork"
Workshop Coordinator,YourDOST Health Solutions,Actively hiring,Bangalore,6 Months," 15,000-20,000 ","Communication, Teamwork"
Video Editor / Translator,Meri Bhumi Mera Dayitva Foundation,Actively hiring,Delhi                                                            (Hybrid),3 Months," 5,000-10,000 ","Video Editing, Premiere Pro, After Effects"
Social Media Marketing,Epesign Technologies Private Limited,Actively hiring,Bangalore,3 Months," 10,000-15,000 ","Marketing Strategy, Communication, Market Research"
Human Resources (HR),Athena School Of Management,Actively hiring,Mumbai,2 Months,"12,000","Recruitment, HR Management, Communication"
Accounting & Taxation,Abhimanyu  Singhal,Actively hiring,Faridabad,3 Months," 2,000-10,000 ","Accounting, Tally, Excel"
Human Resources (HR),Quarks Technosoft Private Limited,Actively hiring,Noida,6 Months,"15,000","Recruitment, HR Management, Communication"
Strategy Officer,Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,3 Months,"1,000","Communication, Teamwork"
Human Resources (HR),Bezt Labs,Actively hiring,Bangalore                                                            (Hybrid),3 Months,"3,000","Recruitment, HR Management, Communication"
Digital Marketing,Internovo Ventures Private Limited,Actively hiring,Mumbai,6 Months," 7,000-9,000 ","SEO, Google Ads, Social Media Marketing"
UX Designer,Akaaro,Actively hiring,Gurgaon                                                            (Hybrid),1 Month,"2,000","Graphic Design, Photoshop, Illustrator"
UX/UI Design,APTAGRIM CONSULTING PRIVATE LIMITED,Actively hiring,Hyderabad,6 Months,"15,000","Graphic Design, Photoshop, Illustrator"
Catalog Management,University Living Accommodation Private Limited,Actively hiring,Noida,3 Months,"12,000","Communication, Teamwork"
Product Management,Bynry Services Private Limited,Actively hiring,Pune,6 Months,"10,000","Communication, Teamwork"
MS Excel (Operations),Akaaro,Actively hiring,Gurgaon                                                            (Hybrid),1 Month,"2,000","Operations Management, Coordination, MS Excel"
Human Resources (HR),Rank Revenue Digitech,Actively hiring,Work from home,2 Months,"4,000","Recruitment, HR Management, Communication"
Research Analyst,Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,3 Months,"1,000","Research, Analysis, Report Writing"
Sales Officer (SAO),Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,3 Months,"1,000","Sales, Negotiation, CRM"
Law/Legal,Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,3 Months,"1,000","Communication, Teamwork"
Android App Development,Fabulous Media Private Limited,Actively hiring,Gurgaon,6 Months," 5,000-15,000 ","App Development, Flutter, React Native"
Fundraising,Jankalyan Multipurpose Education Society,Actively hiring,Work from home,1 Week,Unpaid,"Communication, Teamwork"
Social Media Marketing,Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,3 Months,"1,000","Marketing Strategy, Communication, Market Research"
Finance Officer,Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,3 Months,"1,000","Excel, Financial Analysis, Accounting"
Finance,Millennium Money Finance,Actively hiring,Work from home,1 Month,"1,000","Excel, Financial Analysis, Accounting"
